,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name
ENSMUSG00000024376,214.845277333535,-7.384212657057,0.496813149799644,-14.863158634257,5.71651232808599e-50,8.79085265813064e-46,Epb41l4a
ENSMUSG00000016494,2354.95572407641,-5.11579174226582,0.391375544324484,-13.0713117271947,4.80300971517781e-39,3.69303417000022e-35,Cd34
ENSMUSG00000028760,218.777408207371,-9.27345995862607,0.804287008911035,-11.5300382275003,9.3102365272749e-31,4.77242724388111e-27,Eif4g3
ENSMUSG00000069171,91.7548919967765,-5.74111526928873,0.516010945063806,-11.1259563856321,9.3794526220417e-29,3.60593056054393e-25,Nr2f1
ENSMUSG00000037621,830.739612386077,4.64210777162455,0.435123291530735,10.6684883617559,1.42932709023293e-26,4.39603839872041e-23,Atoh8
ENSMUSG00000038963,125.537097491021,-7.67148242351278,0.741348766508629,-10.3480072674047,4.27286559667395e-25,1.09513545242753e-21,Slco4a1
ENSMUSG00000020354,47.5102273106475,-4.2752121457799,0.432451797359015,-9.88598537892232,4.78847319557467e-23,1.05195915430782e-19,Sgcd
ENSMUSG00000022419,899.889933813834,3.77351357008161,0.41096351745941,9.18211327713367,4.22712834172115e-20,8.12559745487348e-17,Deptor
ENSMUSG00000079259,101.269436426739,-5.61423455179384,0.615908727465457,-9.11536775083076,7.84041108210583e-20,1.33966490689582e-16,Trim71
ENSMUSG00000031070,211.894963823948,-3.07237625634047,0.339966955998223,-9.03727907119458,1.60619924202539e-19,2.47001319438664e-16,Mrgprf
ENSMUSG00000054863,107.9261710064,5.12954400228838,0.569306947186274,9.01015529081542,2.05764919039722e-19,2.87659356817532e-16,Tafa5
ENSMUSG00000020644,987.893521097324,4.11943049071221,0.477150467094747,8.6333992624893,5.95551062870604e-18,7.63198687068679e-15,Id2
ENSMUSG00000029821,298.53984524404,1.86221942252811,0.216277953830244,8.61030627277786,7.28656387408588e-18,8.6194445581302e-15,Gsdme
ENSMUSG00000023043,1304.44259622976,7.96564904624428,0.929131003008938,8.57322489557229,1.00626726034435e-17,1.10531270925539e-14,Krt18
ENSMUSG00000051335,392.916031799872,-2.67853696572391,0.31305310617043,-8.55617437721788,1.16674771959194e-17,1.19614976212565e-14,Gfod1
ENSMUSG00000041703,28.6404420622559,-8.45474492908145,1.00919905267949,-8.37767822575094,5.39819850740666e-17,5.18834354043123e-14,Zic5
ENSMUSG00000031591,6125.07989134538,-1.19394021582622,0.143465765223074,-8.32212628545747,8.63991844542386e-17,7.81556857963106e-14,Asah1
ENSMUSG00000001300,1227.87843813813,-2.28032043517929,0.276271686134072,-8.25390566470383,1.53300375895457e-16,1.30969621140019e-13,Efnb2
ENSMUSG00000005686,296.001381764556,-1.75207246335028,0.212492874789203,-8.24532335537543,1.64714186469761e-16,1.33314461027999e-13,Ampd3
ENSMUSG00000002831,992.831436843035,3.08710149629039,0.376631285945817,8.19661459758419,2.47251564877417e-16,1.90111728234246e-13,Plin4
ENSMUSG00000029641,1619.75598841811,4.44114460815066,0.558509335969567,7.95178222122443,1.83847235247167e-15,1.34628703982425e-12,Rasl11a
ENSMUSG00000040612,202.862852854778,-11.2752947123239,1.46984805798981,-7.67106140735675,1.70578852786174e-14,1.19234618097535e-11,Ildr2
ENSMUSG00000025795,355.285490447087,1.62970671241228,0.214805447087465,7.58689658250936,3.27658394629352e-14,2.19075251852616e-11,Rassf3
ENSMUSG00000028031,55.4318354119839,-8.82571011849615,1.16670190009732,-7.56466593374022,3.8886265819058e-14,2.49163748235614e-11,Dkk2
ENSMUSG00000040433,852.371393225474,-1.07719064323109,0.142576101159309,-7.55519778190228,4.18223840467273e-14,2.57257848748229e-11,Zbtb38
ENSMUSG00000000126,181.238448463062,-3.25608309120531,0.431601742424275,-7.54418430499408,4.55127108944989e-14,2.69190180052156e-11,Wnt9a
ENSMUSG00000041617,383.070248511766,1.68110692535924,0.223912184646124,7.50788496845803,6.00902697623091e-14,3.42247469779552e-11,Ccdc74a
ENSMUSG00000064373,1287.5317107729,3.06183216730787,0.410579232038128,7.45734788413151,8.82813914333634e-14,4.84854013379379e-11,Selenop
ENSMUSG00000019966,2130.5170553101,2.1570756802916,0.291263494848378,7.40592528224145,1.30239151038348e-13,6.90626780919903e-11,Kitl
ENSMUSG00000015568,26.8766423334276,22.0777084944317,3.02733446058076,7.29278802256832,3.03605588973124e-13,1.55628224907623e-10,Lpl
ENSMUSG00000087143,21.0348730947615,-5.23273141498504,0.720290985587069,-7.26474649786174,3.73738502543163e-13,1.85398409422863e-10,A830082K12Rik
ENSMUSG00000040653,22.1053362976205,-7.49104294373822,1.0377811621719,-7.21832619129522,5.26313495280265e-13,2.52926529075623e-10,Ppp1r14c
ENSMUSG00000035283,108.108506865835,-4.97672671989953,0.691825727427395,-7.19361325055929,6.30987679458285e-13,2.94040258627561e-10,Adrb1
ENSMUSG00000038167,75.9478865424439,3.0006668474057,0.41837017693069,7.17227711931966,7.37604405834095e-13,3.33614133909315e-10,Plekhg6
ENSMUSG00000024381,2437.07051476766,0.993154905977288,0.139027282332783,7.14359720849625,9.09195707185577e-13,3.99474616717137e-10,Bin1
ENSMUSG00000029134,134.284763063672,3.23631876394196,0.45469116082056,7.11761970059309,1.09806845485505e-12,4.6905824163225e-10,Plb1
ENSMUSG00000038178,122.815108206857,1.63554281224665,0.231342569753991,7.06978751894165,1.55171109715398e-12,6.44924682487402e-10,Slc43a2
ENSMUSG00000002949,2059.84975883442,-0.866183675970789,0.124756444721631,-6.94299743715451,3.83866388187048e-12,1.55344666251064e-09,Timm44
ENSMUSG00000062309,266.275641386207,-4.4694032874683,0.648313865603899,-6.89388816835667,5.42877076954555e-12,2.14060607420696e-09,Rpp25
ENSMUSG00000031697,2784.03723207851,-0.887445176027364,0.130349502133906,-6.8081976647345,9.88290178367773e-12,3.7994815907349e-09,Orc6
ENSMUSG00000046707,1524.53946549996,-1.0160352835545,0.149951210552049,-6.7757724650167,1.23743297621861e-11,4.64127909958286e-09,Csnk2a2
ENSMUSG00000038295,392.688970500156,-3.39532787845769,0.504636792528247,-6.72826065940808,1.71703136058515e-11,6.140583316995e-09,Atg9b
ENSMUSG00000031584,3973.25207773836,-1.09015315376879,0.16202454641029,-6.72832097309643,1.71631994618232e-11,6.140583316995e-09,Gsr
ENSMUSG00000027796,258.291416314314,3.33688607315552,0.496734920624152,6.71763939801674,1.84692054398152e-11,6.4549873012154e-09,Smad9
ENSMUSG00000029168,46.7194118152842,-2.0238548954296,0.302788462695359,-6.68405551986251,2.32418685620795e-11,7.94252121661465e-09,Dpysl5
ENSMUSG00000037103,3122.85871502478,-0.797658838688985,0.119401765097132,-6.6804610303717,2.38191716503185e-11,7.96285264431733e-09,Dcaf15
ENSMUSG00000062515,406.661663548555,4.26711715263873,0.641866084462921,6.64798663760094,2.97129273240566e-11,9.72181694445409e-09,Fabp4
ENSMUSG00000056228,816.108274998304,-1.11221075688166,0.169301411211546,-6.56941220349266,5.05142683357754e-11,1.6183508718074e-08,Cars2
ENSMUSG00000040722,609.646797906922,-1.26357555055092,0.194282179609867,-6.50381601178382,7.83076650635081e-11,2.45758219050332e-08,Scamp5
ENSMUSG00000066026,227.624041221245,3.64446042775459,0.564144364032612,6.46015569791974,1.04595309240338e-10,3.16817513606199e-08,Dhrs3
ENSMUSG00000031758,31.6448176830237,-5.89478116100175,0.912579669041825,-6.45947018213879,1.05070185940409e-10,3.16817513606199e-08,Cdyl2
ENSMUSG00000009145,115.728825510313,2.11931960240821,0.330469852777278,6.41304973690456,1.4263695827608e-10,4.21821373917222e-08,Dqx1
ENSMUSG00000025521,1023.28173545605,-0.920157998908379,0.143668396506735,-6.40473494019431,1.50630836931797e-10,4.37056794403241e-08,Tmem192
ENSMUSG00000036136,34.5660768648315,-4.15653260261033,0.651447518842522,-6.38045657153714,1.76560792333839e-10,5.02805900835142e-08,Fam110c
ENSMUSG00000029998,1861.0678692163,1.20735314325974,0.190386007286776,6.34160651019442,2.27381471648154e-10,6.35758594728238e-08,Pcyox1
ENSMUSG00000002108,141.605816085081,5.08751524278985,0.806000870783212,6.31204683171891,2.75368863403294e-10,7.56182568109974e-08,Nr1h3
ENSMUSG00000024063,458.358305917137,1.91425196621172,0.303533013563107,6.30656923851786,2.85288386706902e-10,7.69678036978727e-08,Lbh
ENSMUSG00000027074,796.981409253857,1.73402036362932,0.275124976379432,6.30266428896621,2.92572150248796e-10,7.75719745952755e-08,Slc43a3
ENSMUSG00000031134,472.574190398793,1.69680938929771,0.272741078219686,6.22131950336785,4.92991078897601e-10,1.2849520019131e-07,Rbmx
