,A10_s_1,A10_s_2,A7_s_1,A7_s_2,B8_s_1,B8_s_2,C9_s_1,C9_s_2,D10_s_1,D10_s_2,E8_s_1,E8_s_2,F9_s_1,F9_s_2,G10_s_1,G10_s_2,G7_s_1,G7_s_2,H8_s_1,H8_s_2
ENSMUSG00000098104,1,0,0,1,0,0,0,0,1,2,1,1,2,1,0,0,1,0,1,2
ENSMUSG00000103922,1,4,1,4,1,3,4,2,5,2,3,1,2,2,3,2,1,1,3,2
ENSMUSG00000033845,723,764,583,592,516,522,850,888,1060,1046,896,840,1207,1204,688,701,596,547,895,871
ENSMUSG00000102275,0,3,10,8,3,3,1,3,5,8,4,5,11,8,1,5,16,8,0,2
ENSMUSG00000025903,668,701,530,530,572,561,832,871,578,630,682,702,716,793,572,518,687,654,638,673
ENSMUSG00000033813,787,787,334,330,438,424,667,697,666,715,793,836,667,648,424,408,336,310,612,593
ENSMUSG00000062588,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,1,0
ENSMUSG00000002459,0,0,9,11,0,1,4,3,0,1,0,0,0,6,1,6,4,3,0,0
ENSMUSG00000033793,1666,1709,1779,1875,1644,1687,1928,1916,2500,2520,1716,1635,3391,3262,2183,2114,1630,1599,1990,2000
ENSMUSG00000025905,13,16,3,3,0,0,3,0,3,5,0,0,0,0,5,8,15,20,0,0
ENSMUSG00000025907,831,857,572,539,584,579,665,682,694,706,817,857,1279,1246,654,647,648,565,679,672
ENSMUSG00000090031,12,10,8,11,15,7,7,5,13,9,9,10,18,15,10,4,1,5,14,15
ENSMUSG00000087247,0,0,0,0,3,0,0,0,0,0,1,0,64,75,1,3,0,0,1,1
ENSMUSG00000102135,0,1,4,4,2,0,3,4,1,5,1,3,3,5,4,3,4,4,4,3
ENSMUSG00000051285,400,386,386,344,346,376,315,355,277,260,525,458,375,357,301,266,388,393,321,299
ENSMUSG00000103509,5,14,16,11,25,24,12,13,27,29,26,40,36,40,11,19,2,5,7,5
ENSMUSG00000048538,2,2,0,1,0,0,2,3,0,0,2,1,1,2,0,0,0,0,3,0
ENSMUSG00000097797,6,2,4,2,1,2,3,2,2,5,4,0,5,5,6,1,3,4,1,1
ENSMUSG00000084353,4,1,3,0,3,2,5,3,1,4,0,3,2,4,2,4,2,4,3,5
ENSMUSG00000103933,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
ENSMUSG00000061024,761,762,302,271,329,309,386,376,950,954,575,608,839,786,433,405,263,231,480,471
ENSMUSG00000025911,4,1,30,33,24,19,49,50,9,15,34,28,9,15,8,3,59,53,11,13
ENSMUSG00000081441,1,2,7,3,2,1,5,1,6,3,1,1,5,1,7,8,5,2,4,2
ENSMUSG00000025912,120,117,90,97,144,122,146,172,137,149,129,137,186,207,87,103,62,66,82,90
ENSMUSG00000045210,787,756,502,465,576,551,562,665,971,985,746,826,708,774,454,503,542,531,647,702
ENSMUSG00000097893,6,3,0,1,0,2,3,6,4,1,3,3,1,3,1,3,3,3,4,1
ENSMUSG00000025915,389,376,169,183,278,266,498,500,213,224,203,274,285,330,255,233,312,288,139,157
ENSMUSG00000046101,0,1,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,1,1
ENSMUSG00000098234,272,272,263,294,261,296,330,311,377,374,239,231,314,344,237,230,408,402,443,451
ENSMUSG00000093178,1,0,0,1,1,2,2,1,2,2,0,0,2,0,2,1,1,1,2,0
ENSMUSG00000099032,141,146,166,194,150,135,66,86,137,108,123,132,86,81,73,85,146,146,72,74
ENSMUSG00000025917,1598,1564,1305,1298,1230,1230,2239,2338,1980,1969,1537,1634,2385,2253,2071,2032,1107,1172,1551,1566
ENSMUSG00000056763,342,344,294,308,332,315,320,282,485,502,422,416,469,465,332,333,324,331,204,248
